userId,filmId,pref
55592,827,7
57416,830,4
17326,830,3
63924,830,1
129056,830,1
57361,831,10
115364,831,9
7230,831,8
16014,831,8
31073,831,8
129552,834,3
823,835,9
6667,835,8
17597,835,8
26103,835,8
31884,835,8
112960,839,6
83287,839,5
4056,839,3
59533,839,3
99776,839,3
89474,847,10
5097,847,6
16656,847,4
108318,850,10
74886,852,5
127270,853,6
61064,853,2
3222,855,10
9839,855,10
34248,855,10
45939,855,10
53217,855,10
32081,856,10
20458,856,5
47092,861,7
2965,861,6
65895,862,10
79071,862,10
61967,863,10
70324,863,7
29244,863,6
53283,863,6
64625,863,6
27445,864,10
53729,864,10
67052,864,10
93167,864,10
96330,864,9
120520,871,1
1421,873,8
35859,873,7
5628,873,6
6751,873,6
14105,873,5
26442,880,10
34771,880,10
45250,880,10
68794,880,10
73228,880,10
14721,881,8
119984,881,1
122782,881,1
125141,881,1
50695,882,10
26464,882,8
61142,882,8
103409,882,8
62614,882,6
5466,883,10
10809,883,9
35674,883,9
53984,883,9
80692,883,9
50731,894,5
30135,896,5
117872,896,5
121922,900,1
1896,907,10
2586,907,10
5142,907,10
5362,907,10
8910,907,10
63059,909,10
63592,909,10
128191,910,1
31003,916,9
2983,916,7
3370,916,7
59354,916,7
65909,916,6
89474,917,3
43836,919,9
37255,919,7
133199,919,2
56052,920,9
52134,920,8
42083,920,7
72983,920,7
20828,920,6
33349,924,10
55868,924,10
76179,924,10
93167,924,10
99366,924,10
56055,925,10
49664,926,6
56711,929,8
5184,931,10
34631,931,1
121556,931,1
50499,937,10
104679,937,7
62894,937,6
98172,937,6
55919,937,5
37558,939,4
45047,939,2
10422,939,1
4581,940,10
7078,940,10
19576,940,10
80328,940,10
121994,940,10
71099,944,9
58765,944,5
61436,944,5
92079,944,3
98176,946,2
6389,947,10
15149,947,10
31003,947,10
64633,947,10
64659,947,10
12722,948,10
43957,948,10
68880,948,10
78270,948,10
106639,948,9
72737,950,6
14681,952,10
89580,952,10
102013,952,4
73816,952,2
1413,952,1
132160,953,10
23541,954,7
112467,954,3
38213,956,1
40465,956,1
53673,956,1
75219,956,1
86368,956,1
109624,957,8
115879,959,5
28583,963,9
106237,963,9
84809,963,7
26776,963,5
127732,969,8
3039,971,10
4122,971,10
24776,971,10
32329,971,10
54023,971,10
42649,972,10
128014,972,10
14728,972,7
34876,972,7
59120,972,6
17928,973,9
58291,973,9
67111,973,8
71076,973,8
101072,973,8
53833,974,5
128176,975,7
83817,975,3
81703,975,2
111484,975,2
121873,975,2
112467,976,7
9547,978,10
14609,978,10
22231,978,10
23819,978,10
25913,978,10
7128,979,5
16806,981,10
22612,981,9
33275,981,9
86521,981,9
75281,981,8
61836,982,8
122096,987,3
64438,988,7
32172,989,2
67217,989,2
107092,989,2
60916,990,7
67549,990,5
81781,990,4
121114,998,8
58633,998,6
68533,998,6
17579,998,3
87147,1001,8
5057,1001,7
79046,1001,7
126876,1001,7
72351,1001,4
35677,1007,4
43302,1007,2
26101,1009,10
104664,1009,2
105210,1013,9
19124,1013,6
75219,1013,6
53480,1013,5
15805,1013,1
22901,1018,10
73420,1018,8
99003,1018,8
59598,1018,7
1636,1018,6
1508,1023,10
93389,1023,8
85635,1023,7
13948,1023,5
89701,1023,4
108318,1026,4
7892,1029,10
30195,1029,10
30350,1029,10
62600,1029,10
64082,1029,10
97981,1036,1
35596,1040,10
97860,1040,7
113073,1043,10
40855,1043,8
42357,1043,8
15474,1043,7
39414,1043,7
74061,1045,5
43091,1046,10
117931,1046,10
47913,1046,9
82013,1046,9
80006,1046,8
47516,1053,9
35533,1053,7
68942,1053,7
74992,1053,5
120857,1053,4
50619,1054,10
123985,1057,2
134828,1059,8
4100,1059,7
2437,1059,5
29880,1059,4
60572,1059,4
12250,1062,1
37756,1062,1
60781,1062,1
72577,1062,1
81963,1062,1
95028,1063,8
98038,1063,1
47092,1064,3
120568,1064,3
10668,1064,2
1848,1064,1
71110,1064,1
116174,1070,10
5395,1072,3
